,sentence,polarity,subjectivity,Sentiment_Type
0,KPK Dalami Pihak Lain di KemenPUPR yang Ikut Korupsi Proyek SPAM,0.0,0.06666666666666667,Neutral
1,Perbaikan Flyover Cengkareng Butuh Tambahan Waktu ,0.0,0.1,Neutral
2,KPK: Korupsi Pengadaan Air di KemenPUPR Terjadi Secara Sistematis,0.0,0.0,Neutral
3,"Minta Fee Proyek Air Minum Donggala, 4 Pejabat PUPR Bisa Dihukum Mati?",0.0,0.0,Neutral
4,Bisakah KPK Terapkan Hukuman Mati di Korupsi Pengadaan Air di Palu?,0.0,0.0,Neutral
5,KPK Kecam Korupsi Proyek Pengadaan Air Minum di Palu,0.0,0.0,Neutral
6,"KPK Tetapkan 8 Tersangka OTT, Termasuk 4 Pejabat Kementerian PUPR",0.0,0.0,Neutral
7,Amanah Menteri PUPR Tercoreng Gara-Gara Anak Buah Terjaring OTT KPK,0.0,0.06666666666666667,Neutral
8,"Anak Buahnya Kena OTT, Menteri PUPR Tunggu Penjelasan KPK",0.0,0.0,Neutral
9,OTT KPK di Kementerian PUPR Terkait Proyek Air Minum di Daerah,0.0,0.4,Neutral
10,Menteri PUPR: Kerusakan Infrastruktur Akibat Tsunami Banten Tak Parah,0.0,0.0,Neutral
11,"Tanggap Darurat Tsunami Banten, Kementerian PUPR Kirim Alat Berat",-0.2,0.5,Negative
12,Program Satu Juta Rumah Murah Jokowi yang Menjadi Kenyataan,0.4,0.7,Positive
13,Jembatan Gantung Jadi Jantung Sekaligus Objek Wisata Andalan Desa,0.0,0.0,Neutral
14,"Integrasi Tol Pangkas Antrean Panjang, Cukup Satu Kali Transaksi",-0.025,0.37857142857142856,Negative
15,Hore! Pemberlakuan Kenaikan Tarif Tol JORR Ditunda,0.0,0.0,Neutral
