"url","Box Panel Image","Box Panel Image_alt","Box Panel Image_link","Date","News","News_link","Description","Description_link"
"https://www.idntimes.com/tag/kementerian-pupr","https://cdn.idntimes.com/content-images/post/20180725/d91f12e8485e9b24fd708d6e888bdc17_300x200.jpeg","KPK Dalami Pihak Lain di KemenPUPR yang Ikut Korupsi Proyek SPAM","https://www.idntimes.com/news/indonesia/santi-dewi/kpk-dalami-keterlibatan-pejabat-lain-kementerian-pupr-korupsi-spam","4 Januari 2019","News","https://www.idntimes.com/news","KPK Dalami Pihak Lain di KemenPUPR yang Ikut Korupsi Proyek SPAM","https://www.idntimes.com/news/indonesia/santi-dewi/kpk-dalami-keterlibatan-pejabat-lain-kementerian-pupr-korupsi-spam"
"https://www.idntimes.com/tag/kementerian-pupr","https://cdn.idntimes.com/content-images/post/20190103/flyover-cengkareng-sedang-dalam-perbaikan-4-f5abaf34b09c9996aab8aa4aee01c533_300x200.jpeg","Perbaikan Flyover Cengkareng Butuh Tambahan Waktu, Selesai 7 Januari","https://www.idntimes.com/news/indonesia/helmi/perbaikan-flyover-cengkareng-butuh-tambahan-waktu-selesai-7-januari","4 Januari 2019","News","https://www.idntimes.com/news","Perbaikan Flyover Cengkareng Butuh Tambahan Waktu, Selesai 7 Januari","https://www.idntimes.com/news/indonesia/helmi/perbaikan-flyover-cengkareng-butuh-tambahan-waktu-selesai-7-januari"
"https://www.idntimes.com/tag/kementerian-pupr","https://cdn.idntimes.com/content-images/post/20181231/uang-korupsi-01-d47210e00f765cf57320ff35e8eabd13_300x200.jpg","KPK: Korupsi Pengadaan Air di KemenPUPR Terjadi Secara Sistematis","https://www.idntimes.com/news/indonesia/santi-dewi/kpk-korupsi-pengadaan-air-kementerian-pupr-terjadi-sistematis","31 Desember 2018","News","https://www.idntimes.com/news","KPK: Korupsi Pengadaan Air di KemenPUPR Terjadi Secara Sistematis","https://www.idntimes.com/news/indonesia/santi-dewi/kpk-korupsi-pengadaan-air-kementerian-pupr-terjadi-sistematis"
"https://www.idntimes.com/tag/kementerian-pupr","https://cdn.idntimes.com/content-images/post/20181230/saut-situmorang-03-d372b2c51ca8179a45f9dac2ae07e65a_300x200.jpg","Minta Fee Proyek Air Minum Donggala, 4 Pejabat PUPR Bisa Dihukum Mati?","https://bali.idntimes.com/news/indonesia/amelinda-zaneta/hukuman-mati-untuk-pejabat-pupr-yang-korupsi-proyek-air-di-palu","30 Desember 2018","News","https://www.idntimes.com/news","Minta Fee Proyek Air Minum Donggala, 4 Pejabat PUPR Bisa Dihukum Mati?","https://bali.idntimes.com/news/indonesia/amelinda-zaneta/hukuman-mati-untuk-pejabat-pupr-yang-korupsi-proyek-air-di-palu"
"https://www.idntimes.com/tag/kementerian-pupr","https://cdn.idntimes.com/content-images/post/20181230/saut-situmorang-03-d372b2c51ca8179a45f9dac2ae07e65a_300x200.jpg","Bisakah KPK Terapkan Hukuman Mati di Korupsi Pengadaan Air di Palu?","https://www.idntimes.com/news/indonesia/amelinda-zaneta/empat-pejabat-kementerian-pupr-korupsi-dana-air-palu-hukuman-mati","30 Desember 2018","News","https://www.idntimes.com/news","Bisakah KPK Terapkan Hukuman Mati di Korupsi Pengadaan Air di Palu?","https://www.idntimes.com/news/indonesia/amelinda-zaneta/empat-pejabat-kementerian-pupr-korupsi-dana-air-palu-hukuman-mati"
"https://www.idntimes.com/tag/kementerian-pupr","https://cdn.idntimes.com/content-images/post/20181230/kpk-03-f2d2d036ad095bedc4182df43ac3333b_300x200.jpg","KPK Kecam Korupsi Proyek Pengadaan Air Minum di Palu","https://www.idntimes.com/news/indonesia/amelinda-zaneta/kpk-kecam-korupsi-pengadaan-air-minum-wilayah-bencana-palu","30 Desember 2018","News","https://www.idntimes.com/news","KPK Kecam Korupsi Proyek Pengadaan Air Minum di Palu","https://www.idntimes.com/news/indonesia/amelinda-zaneta/kpk-kecam-korupsi-pengadaan-air-minum-wilayah-bencana-palu"
"https://www.idntimes.com/tag/kementerian-pupr","https://cdn.idntimes.com/content-images/post/20181230/kpk-02-2-00f8debee4cb30a89a58f76bcef40421_300x200.jpg","KPK Tetapkan 8 Tersangka OTT, Termasuk 4 Pejabat Kementerian PUPR","https://www.idntimes.com/news/indonesia/amelinda-zaneta/kpk-tetapkan-delapan-tersangka-ott-kementerian-pupr","30 Desember 2018","News","https://www.idntimes.com/news","KPK Tetapkan 8 Tersangka OTT, Termasuk 4 Pejabat Kementerian PUPR","https://www.idntimes.com/news/indonesia/amelinda-zaneta/kpk-tetapkan-delapan-tersangka-ott-kementerian-pupr"
"https://www.idntimes.com/tag/kementerian-pupr","https://cdn.idntimes.com/content-images/post/20181229/basuki-hadimuljono-01-5e5595ceb48d0c34ac7446c6dacfafea_300x200.jpg","Amanah Menteri PUPR Tercoreng Gara-Gara Anak Buah Terjaring OTT KPK","https://www.idntimes.com/news/indonesia/santi-dewi/amanah-menteri-pupr-tercoreng-gara-gara-anak-buah-terjaring-ott-kpk","29 Desember 2018","News","https://www.idntimes.com/news","Amanah Menteri PUPR Tercoreng Gara-Gara Anak Buah Terjaring OTT KPK","https://www.idntimes.com/news/indonesia/santi-dewi/amanah-menteri-pupr-tercoreng-gara-gara-anak-buah-terjaring-ott-kpk"
"https://www.idntimes.com/tag/kementerian-pupr","https://cdn.idntimes.com/content-images/post/20181223/ba-1-8d9c0395b6c66ddb9668a018c91d3e73_300x200.jpg","Anak Buahnya Kena OTT, Menteri PUPR Tunggu Penjelasan KPK","https://www.idntimes.com/news/indonesia/santi-dewi/menteri-pupr-tunggu-penjelasan-kpk-soal-anak-buah-kena-ott","28 Desember 2018","News","https://www.idntimes.com/news","Anak Buahnya Kena OTT, Menteri PUPR Tunggu Penjelasan KPK","https://www.idntimes.com/news/indonesia/santi-dewi/menteri-pupr-tunggu-penjelasan-kpk-soal-anak-buah-kena-ott"
"https://www.idntimes.com/tag/kementerian-pupr","https://cdn.idntimes.com/content-images/post/20181218/korupsi-01-1dea17bd43defc0792d97b5026914110_300x200.jpg","OTT KPK di Kementerian PUPR Terkait Proyek Air Minum di Daerah","https://www.idntimes.com/news/indonesia/santi-dewi/ott-kpk-kementerian-pupr-penyediaan-air-minum-daerah","28 Desember 2018","News","https://www.idntimes.com/news","OTT KPK di Kementerian PUPR Terkait Proyek Air Minum di Daerah","https://www.idntimes.com/news/indonesia/santi-dewi/ott-kpk-kementerian-pupr-penyediaan-air-minum-daerah"
